100
2 0
1 1
+ 15 45
x 30 24
+ 18 2
+ 13 57
x 6 83
+ 18 32
+ 13 84
+ 4 70
o 31 21
x 39 52
x 8 63
+ 59 80
o 65 40
o 28 51
+ 75 2
+ 56 81
x 46 33
x 67 55
+ 80 37
+ 4 49
o 87 47
+ 61 80
x 14 11
o 2 35
o 73 53
x 15 80
x 79 44
x 63 32
o 27 87
+ 17 49
o 32 29
+ 52 80
+ 18 3
o 13 50
o 54 48
34 33
x 20 31
o 6 18
x 12 17
+ 12 5
o 19 16
x 11 24
x 10 5
+ 20 8
x 28 30
x 14 11
x 34 3
x 2 15
+ 12 20
+ 29 9
o 29 28
o 17 4
x 13 26
x 33 21
o 3 34
+ 34 25
+ 26 20
o 25 25
o 15 33
+ 24 20
x 16 7
+ 28 3
+ 16 11
+ 6 16
+ 2 18
x 24 14
+ 1 5
+ 5 3
+ 29 13
100 100
x 61 85
x 70 22
x 54 100
x 24 27
x 100 26
x 38 15
x 31 39
x 1 71
x 19 38
x 42 35
x 97 93
x 85 12
x 77 69
x 78 19
x 11 4
x 58 52
x 16 9
x 18 67
x 98 98
x 17 20
x 96 91
x 27 79
x 9 48
x 64 68
x 10 47
x 95 11
x 86 37
x 76 95
x 49 81
x 93 44
x 56 55
x 52 99
x 92 82
x 12 96
x 55 87
x 80 33
x 69 43
x 82 25
x 32 18
x 81 36
x 74 21
x 59 53
x 43 54
x 50 64
x 48 6
x 8 10
x 84 88
x 30 97
x 53 23
x 2 73
x 41 28
x 36 75
x 91 51
x 44 29
x 3 56
x 75 24
x 57 49
x 25 70
x 45 42
x 4 84
x 6 1
x 65 61
x 60 40
x 94 60
x 66 50
x 39 76
x 83 86
x 20 94
x 99 80
x 68 17
x 47 5
x 37 65
x 14 62
x 79 16
x 26 7
x 90 92
x 40 32
x 15 89
x 72 58
x 73 57
x 51 46
x 46 14
x 5 31
x 71 2
x 22 63
x 7 30
x 21 41
x 88 83
x 63 3
x 89 45
x 62 34
x 87 13
x 29 90
x 28 8
x 35 72
x 67 74
x 34 78
x 13 66
x 23 59
x 33 77
100 69
x 77 37
x 88 31
x 17 95
x 68 83
x 46 99
+ 19 29
+ 50 6
+ 33 50
x 95 91
+ 1 19
+ 71 11
+ 44 16
x 75 84
+ 9 12
x 90 47
x 41 80
+ 3 12
x 40 5
x 7 23
+ 19 67
x 63 11
x 59 53
x 56 50
x 99 10
x 49 57
+ 47 54
x 81 41
x 27 6
+ 73 23
+ 8 4
x 87 92
x 20 12
+ 12 20
+ 1 7
+ 55 6
x 21 3
x 11 19
x 3 56
+ 14 12
x 64 63
+ 6 11
x 58 77
+ 15 8
+ 1 3
+ 7 57
x 38 90
+ 46 6
+ 1 1
x 91 43
x 36 65
+ 80 1
x 89 89
+ 8 2
x 55 38
x 9 75
x 22 51
+ 1 2
x 25 28
+ 4 1
+ 10 69
+ 71 26
x 82 61
+ 6 64
x 28 66
x 61 26
x 51 73
x 37 97
+ 9 4
+ 5 93
100 67
+ 10 72
+ 11 51
+ 10 2
+ 33 28
+ 2 16
+ 60 40
+ 11 4
+ 87 4
x 20 48
+ 60 23
+ 45 29
x 54 79
+ 6 35
+ 17 81
+ 1 5
+ 35 10
+ 13 41
+ 23 5
x 11 58
+ 33 3
+ 5 75
+ 57 40
+ 76 11
x 1 34
+ 67 18
x 10 6
+ 10 1
+ 7 19
+ 9 14
x 55 40
+ 63 15
+ 42 15
+ 9 25
+ 10 28
+ 31 63
+ 23 40
+ 3 2
x 95 23
+ 13 22
+ 2 28
+ 37 9
+ 38 6
+ 61 7
x 57 67
+ 49 39
+ 14 17
+ 46 47
+ 1 1
x 38 14
+ 45 7
+ 24 65
x 72 82
+ 7 1
+ 14 61
+ 33 31
x 14 90
+ 19 21
+ 7 13
+ 50 10
+ 60 16
+ 7 32
x 89 57
+ 25 22
+ 81 9
+ 12 1
+ 3 11
+ 69 2
94 90
x 29 86
x 49 46
+ 73 47
+ 55 5
o 21 65
+ 4 28
+ 3 94
x 15 71
+ 93 49
x 48 56
+ 76 2
x 45 34
x 40 26
+ 4 52
o 16 89
+ 88 33
+ 32 5
o 7 91
o 50 61
o 69 33
x 35 72
o 38 70
o 91 5
o 64 62
x 27 14
+ 21 47
+ 94 40
+ 71 80
+ 74 13
x 42 92
x 83 24
+ 82 82
+ 8 25
x 20 38
x 17 40
+ 5 39
o 44 83
o 26 8
+ 2 56
o 51 20
+ 63 44
+ 69 75
x 53 42
o 43 30
+ 45 8
o 56 13
x 77 52
+ 1 20
+ 16 84
+ 31 58
+ 47 59
x 70 79
x 87 11
x 1 29
x 31 16
+ 31 72
+ 64 61
+ 56 8
o 67 18
o 92 68
x 18 81
+ 60 14
x 88 64
+ 69 64
x 62 82
+ 87 59
+ 40 15
+ 75 77
o 4 76
o 39 49
o 41 77
x 57 55
+ 23 6
x 74 9
o 19 93
+ 4 68
+ 43 56
+ 76 94
+ 93 35
+ 37 93
+ 5 65
+ 12 34
+ 1 51
x 72 78
+ 55 88
x 94 10
o 24 27
+ 75 80
o 30 53
+ 29 30
10 9
+ 10 1
o 10 2
+ 6 8
o 3 6
x 7 7
x 4 9
o 2 1
o 5 3
+ 5 1
88 82
+ 46 8
+ 5 71
+ 68 55
+ 63 1
o 82 67
+ 72 11
+ 57 20
+ 41 14
o 54 12
x 5 64
o 86 13
x 66 75
x 4 22
x 67 6
x 58 72
o 35 65
+ 88 68
o 87 11
x 38 47
x 53 14
+ 6 13
x 7 53
+ 10 53
x 33 52
o 70 3
x 59 32
o 23 82
+ 32 88
+ 5 29
x 9 8
x 25 68
+ 52 83
+ 53 22
+ 38 77
+ 4 61
+ 38 65
x 21 26
o 85 31
x 42 48
o 24 77
o 30 79
o 52 20
x 29 34
x 39 63
x 76 21
o 6 39
+ 47 1
o 83 4
o 63 51
x 44 50
+ 5 37
+ 64 82
x 80 49
+ 13 38
+ 79 38
x 75 85
+ 25 24
+ 30 76
o 81 29
x 57 38
o 43 46
+ 42 54
+ 49 1
x 50 5
+ 82 75
o 20 17
o 2 28
o 36 2
+ 46 22
x 60 18
+ 10 50
+ 38 9
+ 79 40
+ 82 65
+ 18 86
+ 88 45
o 17 69
o 19 40
+ 6 34
+ 25 66
o 13 9
x 46 55
89 84
+ 38 86
x 12 67
x 88 58
+ 35 64
x 40 7
+ 16 8
x 7 17
+ 6 46
o 37 2
o 63 30
+ 10 45
x 57 51
+ 34 64
+ 11 33
+ 75 68
+ 86 3
x 18 60
+ 2 29
+ 8 66
+ 53 89
x 31 37
+ 53 5
x 53 71
+ 29 13
+ 60 69
o 55 61
x 47 89
o 75 8
x 78 36
o 80 81
x 35 54
x 26 75
+ 55 31
+ 12 36
x 73 55
+ 54 3
+ 6 89
+ 62 66
o 23 12
+ 40 3
x 13 69
x 43 66
o 81 77
x 85 29
x 22 76
o 50 53
+ 54 18
+ 17 67
+ 19 6
x 2 40
o 36 46
+ 49 2
o 3 72
o 67 74
o 62 34
+ 88 25
o 25 3
+ 87 45
+ 53 68
+ 52 75
x 15 28
o 32 1
o 82 10
o 11 27
o 10 78
x 21 43
+ 65 44
x 44 19
+ 70 55
+ 43 3
o 61 87
x 76 65
+ 2 59
o 4 49
+ 53 85
o 19 21
o 74 13
o 86 16
+ 45 73
+ 70 11
+ 88 38
o 46 44
x 60 59
x 42 50
100 100
+ 1 23
x 9 100
x 35 46
x 91 91
+ 2 99
x 46 40
+ 56 17
x 2 26
+ 2 5
+ 14 25
x 97 75
x 66 7
x 17 25
x 20 51
x 29 2
x 30 56
x 99 62
x 87 8
+ 33 29
x 92 34
x 19 38
x 43 97
x 53 5
x 47 29
x 81 64
x 59 27
x 72 16
x 41 11
x 16 87
x 75 10
x 74 19
x 83 72
x 4 32
x 93 4
+ 56 12
x 33 53
x 51 57
x 1 30
x 18 88
x 22 60
x 37 3
x 98 6
x 77 28
x 94 31
x 90 74
x 89 14
x 11 61
x 96 96
x 5 17
x 25 73
+ 1 71
x 88 45
+ 24 59
x 65 37
x 82 15
x 78 93
x 56 95
x 32 78
+ 1 1
x 71 99
x 73 86
x 86 80
x 67 50
x 27 41
x 76 55
x 60 63
x 31 39
x 49 1
x 13 90
x 34 21
x 3 79
x 100 83
+ 3 1
x 42 35
+ 53 47
x 57 89
x 8 85
x 38 36
x 6 20
+ 1 57
x 21 12
x 54 54
x 50 82
x 12 69
x 79 76
x 48 47
+ 32 19
x 55 43
x 63 33
+ 43 22
x 64 23
x 85 94
x 7 52
x 95 68
x 23 81
x 58 42
+ 26 23
x 61 49
+ 6 14
x 70 18
100 60
x 51 83
+ 25 35
x 71 69
x 19 49
x 100 95
+ 1 1
x 32 12
x 72 40
x 84 31
x 2 59
x 52 78
x 29 43
+ 2 6
x 27 38
x 9 57
x 3 68
x 10 77
x 5 22
x 14 45
x 78 96
x 70 74
x 86 67
x 95 1
x 22 42
x 33 18
x 41 39
x 21 62
x 97 70
x 61 11
x 88 81
x 45 90
x 54 82
x 46 26
x 59 9
x 43 23
x 11 4
+ 1 95
x 30 7
x 20 55
x 63 54
+ 45 31
x 75 50
x 7 33
x 66 21
+ 21 15
x 39 88
x 90 65
x 55 87
x 91 76
x 93 3
x 83 35
x 99 24
x 77 10
x 6 61
x 65 75
x 17 30
x 80 36
x 53 28
+ 53 2
x 74 20
100 84
+ 21 5
+ 13 61
+ 19 31
+ 15 20
+ 6 39
+ 11 66
+ 27 72
+ 78 15
+ 10 33
+ 58 21
+ 7 83
+ 53 31
+ 8 9
+ 66 7
+ 6 36
+ 87 4
+ 3 53
+ 2 27
+ 17 21
+ 26 14
+ 25 71
+ 85 13
+ 2 11
+ 59 11
+ 19 1
+ 17 10
+ 74 27
+ 44 11
+ 33 32
+ 69 14
+ 1 9
+ 58 30
+ 6 3
+ 91 6
+ 12 10
+ 52 16
+ 1 3
+ 61 8
+ 10 1
+ 33 48
+ 32 15
+ 7 1
+ 79 6
+ 19 43
+ 10 77
+ 11 28
+ 12 64
+ 3 92
+ 26 5
+ 10 2
+ 36 13
+ 1 1
+ 5 1
+ 34 10
+ 28 8
+ 2 5
+ 2 70
+ 86 8
+ 49 5
+ 31 21
+ 18 39
+ 26 11
+ 1 15
+ 76 24
+ 2 39
+ 64 14
+ 4 11
+ 19 47
+ 27 53
+ 23 41
+ 32 21
+ 12 74
+ 2 65
+ 31 1
+ 43 5
+ 1 17
+ 44 17
+ 9 49
+ 45 6
+ 21 2
+ 32 27
+ 69 13
+ 20 51
+ 4 24
100 54
x 32 75
+ 1 1
x 55 63
x 42 78
x 72 50
x 99 91
x 48 30
x 76 62
x 87 28
x 92 4
x 69 71
x 85 13
x 20 18
x 40 38
x 4 85
x 8 69
x 29 26
x 100 23
x 12 65
x 11 84
x 60 12
x 49 79
x 78 82
x 3 74
x 25 58
x 93 11
x 36 70
x 57 24
x 89 52
x 21 34
x 66 95
x 97 49
x 53 41
x 84 20
x 56 14
x 95 36
x 14 89
x 37 97
x 34 76
x 90 94
x 58 72
x 24 33
x 17 96
x 59 9
x 26 46
x 91 43
x 64 31
x 45 7
x 82 2
x 77 90
x 65 21
x 19 68
x 75 86
+ 57 31
100 100
+ 54 13
x 84 60
x 55 54
+ 17 49
+ 11 48
+ 4 29
+ 47 30
x 77 66
+ 11 85
+ 18 35
+ 79 8
+ 35 12
x 82 37
+ 32 67
x 95 44
+ 14 61
+ 29 39
+ 14 7
+ 8 26
x 89 2
+ 58 30
x 73 31
x 43 20
x 56 40
x 14 57
+ 5 12
x 23 74
+ 31 11
+ 40 43
x 97 18
x 70 81
x 72 42
x 26 19
x 50 84
+ 1 24
+ 41 16
x 51 24
x 20 87
+ 61 24
+ 28 56
+ 20 7
+ 19 57
+ 12 3
+ 36 22
x 37 47
+ 68 5
+ 23 17
x 47 55
+ 45 19
x 76 10
+ 19 11
+ 1 2
+ 5 17
+ 56 6
x 45 43
+ 70 25
+ 4 9
x 61 39
x 35 86
+ 31 30
x 21 23
+ 5 41
x 63 58
+ 6 14
+ 12 78
+ 80 1
+ 40 10
+ 13 47
+ 32 22
x 8 99
+ 15 56
x 90 9
x 60 90
+ 4 1
x 48 17
+ 9 20
+ 15 24
x 74 11
x 31 28
+ 1 3
x 38 26
+ 9 5
+ 26 48
x 80 34
x 1 85
+ 41 8
x 36 82
x 71 48
+ 71 7
+ 4 28
x 44 91
+ 5 3
+ 40 1
+ 53 29
+ 1 1
+ 9 42
+ 32 48
+ 18 13
x 9 25
+ 38 51
61 60
+ 57 47
o 36 35
+ 24 20
o 52 53
x 11 27
+ 19 3
+ 58 39
+ 50 26
+ 4 33
o 13 2
x 60 59
o 6 24
x 33 11
+ 1 53
o 45 23
x 15 41
+ 30 10
+ 32 55
x 44 37
+ 1 52
x 19 47
+ 37 1
+ 19 36
+ 26 1
+ 33 57
o 24 61
+ 4 61
+ 6 14
x 38 26
+ 32 1
+ 9 48
+ 39 60
o 57 31
+ 24 1
+ 58 28
x 43 38
o 42 30
x 14 45
+ 41 6
x 47 54
+ 28 14
+ 30 1
x 32 8
o 48 3
+ 35 61
x 2 42
o 4 48
+ 52 57
o 58 5
+ 61 59
x 61 14
+ 28 56
+ 31 51
+ 7 60
+ 59 44
+ 55 23
x 46 15
+ 19 51
+ 25 7
+ 49 44
100 80
+ 2 3
+ 47 21
x 99 65
x 40 37
+ 6 20
+ 14 43
x 88 27
x 79 43
x 33 90
x 90 11
+ 3 6
+ 45 42
x 16 14
x 28 46
x 60 94
+ 37 8
x 58 36
x 96 89
x 59 44
x 2 81
+ 4 52
x 82 100
x 45 56
x 39 76
+ 21 31
+ 32 40
x 12 40
x 70 4
x 42 77
x 89 68
x 7 34
x 22 71
x 24 83
+ 68 5
x 4 66
x 95 59
+ 12 19
x 37 55
+ 1 1
x 81 28
x 66 96
x 21 73
x 83 33
+ 64 10
x 47 15
x 76 64
x 74 99
x 53 10
x 48 45
x 94 26
+ 61 4
x 55 92
+ 23 44
x 54 87
x 80 38
x 57 17
+ 22 2
x 100 29
x 62 80
x 85 24
x 72 61
x 31 62
x 75 16
x 41 85
x 86 74
+ 23 48
+ 6 63
+ 45 32
x 9 23
x 19 13
x 36 52
+ 14 20
x 67 67
x 11 51
x 5 7
+ 62 4
x 35 63
x 46 42
+ 4 77
x 17 30
12 11
+ 2 5
o 10 5
o 8 9
x 11 2
+ 1 10
x 2 10
+ 1 8
x 12 12
o 5 7
+ 7 11
x 9 4
100 95
+ 4 28
+ 8 1
+ 16 54
+ 50 11
+ 5 82
+ 59 41
+ 9 4
+ 11 1
+ 8 25
+ 33 1
+ 70 29
+ 60 35
+ 16 4
+ 60 29
+ 72 24
+ 51 18
+ 3 52
+ 44 31
+ 5 37
+ 77 5
+ 3 18
+ 72 19
+ 4 23
+ 12 19
+ 30 9
+ 10 41
+ 1 1
+ 25 53
+ 2 45
+ 8 2
+ 8 35
+ 56 1
+ 92 5
+ 36 8
+ 72 4
+ 10 70
+ 11 37
+ 22 61
+ 17 37
+ 13 27
+ 28 70
+ 21 20
+ 54 19
+ 48 5
+ 39 10
+ 32 33
+ 19 52
+ 16 8
+ 12 10
+ 27 74
+ 3 13
+ 5 30
+ 60 8
+ 2 61
+ 66 6
+ 4 77
+ 53 6
+ 13 2
+ 29 31
+ 5 9
+ 4 25
+ 10 16
+ 9 70
+ 40 18
+ 6 22
+ 27 18
+ 23 69
+ 33 44
+ 18 48
+ 42 25
+ 8 17
+ 36 16
+ 6 2
+ 20 17
+ 10 13
+ 3 8
+ 10 78
+ 7 43
+ 25 37
+ 16 1
+ 26 48
+ 68 26
+ 56 30
+ 15 23
+ 58 35
+ 1 63
+ 35 21
+ 17 1
+ 71 14
+ 35 1
+ 27 3
+ 41 5
+ 77 7
+ 73 17
+ 3 16
100 82
+ 13 4
+ 7 2
+ 29 10
+ 75 15
+ 5 1
+ 16 26
+ 8 29
+ 7 82
+ 28 4
+ 17 39
+ 1 14
+ 34 9
+ 9 64
+ 16 82
+ 87 9
+ 2 86
+ 38 16
+ 89 12
+ 18 34
+ 5 63
+ 16 51
+ 44 15
+ 27 42
+ 17 57
+ 39 12
+ 10 19
+ 15 20
+ 2 6
+ 18 52
+ 16 48
+ 42 21
+ 7 46
+ 4 54
+ 62 21
+ 60 18
+ 18 15
+ 18 44
+ 49 11
+ 19 57
+ 3 83
+ 8 16
+ 12 4
+ 21 1
+ 68 14
+ 11 70
+ 1 12
+ 63 12
+ 4 10
+ 90 10
+ 4 75
+ 13 58
+ 18 5
+ 9 71
+ 75 9
+ 1 93
+ 4 3
+ 4 34
+ 2 97
+ 23 11
+ 67 5
+ 16 9
+ 22 23
+ 9 46
+ 66 27
+ 7 14
+ 40 6
+ 14 17
+ 18 12
+ 12 53
+ 17 3
+ 5 7
+ 3 1
+ 29 18
+ 17 44
+ 30 14
+ 37 54
+ 19 38
+ 14 14
+ 91 4
+ 4 22
+ 37 4
+ 21 6
100 100
x 53 19
o 45 33
+ 92 41
o 97 38
o 28 54
x 12 85
o 61 26
x 47 52
o 48 7
+ 5 33
o 100 22
+ 96 95
x 27 1
x 44 60
+ 100 36
o 15 18
x 4 30
+ 94 98
+ 49 95
o 91 70
+ 53 8
o 77 68
+ 81 96
+ 15 92
o 1 98
+ 83 93
o 90 47
+ 5 32
x 2 23
+ 95 45
+ 52 48
x 18 45
+ 3 99
+ 50 3
+ 90 51
+ 96 86
+ 84 13
+ 23 62
o 79 71
o 7 50
o 89 63
x 55 79
x 87 61
+ 9 100
+ 89 69
+ 15 27
+ 5 58
x 41 36
x 26 42
+ 46 68
o 73 15
+ 8 78
+ 74 91
x 39 12
o 30 91
+ 8 64
x 25 93
+ 100 6
x 50 21
x 31 65
+ 32 81
+ 30 71
o 36 83
+ 27 21
x 85 95
x 65 67
+ 23 36
+ 1 20
+ 29 50
x 69 27
o 60 94
x 35 88
o 93 37
+ 10 65
o 23 81
o 88 5
x 56 99
+ 36 96
x 40 92
+ 66 97
+ 7 83
o 83 35
x 11 84
+ 15 16
+ 49 13
x 64 96
x 72 11
+ 65 81
o 99 80
x 94 39
+ 45 28
+ 61 19
+ 7 58
o 70 55
x 49 75
+ 49 20
o 59 57
x 34 2
+ 17 19
+ 31 95
55 52
o 5 31
+ 55 13
o 54 43
x 39 36
+ 32 49
x 12 19
+ 2 8
+ 24 49
+ 26 9
o 50 13
x 36 26
x 53 17
+ 23 18
o 14 29
x 47 23
+ 51 32
+ 22 55
o 23 30
x 41 2
o 34 24
+ 34 45
o 32 20
+ 46 23
+ 27 6
o 22 44
+ 5 49
+ 50 12
+ 55 27
x 19 40
+ 47 12
+ 16 16
+ 14 34
+ 6 9
o 24 48
o 42 46
x 45 28
x 11 1
x 29 15
x 15 10
o 49 41
x 17 3
o 38 54
o 6 8
+ 2 44
+ 51 33
+ 45 19
+ 37 1
x 35 37
+ 27 3
+ 1 2
x 40 42
x 13 11
16 14
x 12 7
x 16 9
o 10 6
+ 9 4
+ 8 16
x 14 16
+ 8 7
x 1 3
o 15 13
+ 6 6
o 4 10
+ 5 16
o 11 12
+ 4 1
30 29
x 22 19
+ 9 6
x 15 11
+ 26 10
+ 26 7
o 8 16
+ 12 26
+ 21 21
o 30 21
x 16 10
o 21 1
o 25 3
+ 19 4
+ 30 22
x 1 17
x 29 12
+ 2 11
+ 16 2
+ 26 21
x 14 18
+ 25 1
x 20 4
+ 17 4
+ 30 18
+ 17 10
x 13 15
x 12 22
x 4 13
o 19 26
20 36
+ 2 3
o 6 16
o 14 3
o 20 15
o 8 19
o 5 4
+ 15 3
+ 17 2
o 4 9
o 7 5
+ 11 5
o 10 14
+ 8 20
+ 17 9
+ 18 11
x 2 8
x 18 18
x 13 17
x 9 2
o 1 1
+ 14 11
+ 5 1
+ 14 20
+ 11 20
o 3 11
+ 4 11
o 16 7
x 12 13
+ 4 7
x 15 10
x 19 20
x 11 12
x 17 6
+ 15 5
+ 17 19
+ 3 18
100 100
x 47 38
x 32 70
x 60 66
x 31 51
+ 23 21
x 95 21
x 75 82
x 12 7
x 37 37
x 70 96
x 99 83
x 38 86
x 26 11
x 13 54
x 9 30
x 5 57
x 91 1
x 61 6
x 64 50
x 17 90
x 6 8
x 77 35
x 54 69
x 85 2
x 65 55
x 1 52
x 34 67
x 49 9
x 88 13
x 19 4
x 58 40
x 29 29
x 69 42
x 53 89
x 36 61
x 48 85
+ 1 1
x 67 72
x 45 59
+ 42 29
x 42 78
x 87 24
x 100 44
x 22 34
x 92 18
x 74 65
x 46 19
x 56 95
x 35 45
x 18 74
x 63 62
x 76 97
x 84 48
x 7 71
x 25 87
x 16 23
x 94 93
x 55 53
x 96 3
x 97 79
x 86 80
x 71 68
x 57 99
x 10 28
x 24 27
x 43 36
+ 2 3
x 11 12
x 28 75
x 90 60
x 50 22
x 44 47
x 39 17
x 79 41
x 33 94
x 14 76
x 83 15
x 51 56
x 2 5
x 3 20
+ 8 40
x 40 39
x 30 49
x 4 92
x 93 81
x 27 10
x 66 58
x 23 77
x 89 100
x 8 46
x 73 88
x 82 98
x 20 91
x 98 16
x 21 33
x 80 84
x 15 26
x 41 25
x 81 63
x 62 43
100 20
+ 4 78
+ 1 1
+ 21 8
+ 15 80
+ 41 13
+ 9 39
+ 11 20
+ 8 9
+ 21 60
+ 47 16
+ 31 69
+ 30 57
+ 19 52
+ 28 46
+ 32 11
+ 3 1
+ 58 12
+ 15 6
+ 15 9
+ 69 3
4 3
+ 2 4
o 1 2
o 4 4
48 45
+ 5 33
+ 42 48
o 4 6
o 42 10
o 28 46
o 20 35
+ 47 16
x 45 45
+ 19 2
o 19 24
o 17 27
+ 3 26
x 13 23
+ 46 21
x 29 17
x 9 21
+ 43 16
+ 21 47
o 27 48
o 40 22
x 31 29
x 34 7
+ 32 4
+ 13 2
x 30 30
+ 40 5
+ 13 4
o 18 31
+ 20 4
o 44 40
+ 1 4
o 8 32
o 46 39
+ 28 5
+ 45 11
o 11 8
x 12 38
+ 42 36
+ 38 19
+ 32 39
x 36 15
+ 12 39
x 32 43
x 26 37
x 24 18
100 46
+ 4 73
+ 3 2
+ 39 19
+ 3 39
+ 6 3
+ 83 9
+ 4 16
+ 45 8
+ 1 2
+ 2 5
+ 11 89
+ 49 21
+ 23 12
+ 10 20
+ 29 3
+ 16 77
+ 2 4
+ 1 28
+ 10 14
+ 24 48
+ 25 41
+ 4 24
+ 10 2
+ 36 47
+ 65 25
+ 28 69
+ 22 45
+ 17 24
+ 1 1
+ 6 93
+ 23 29
+ 58 3
+ 10 3
+ 17 22
+ 26 5
+ 20 29
+ 62 11
+ 61 27
+ 42 59
+ 40 16
+ 35 49
+ 4 61
+ 52 17
+ 37 23
+ 7 37
+ 21 59
61 62
x 40 23
x 19 16
o 8 30
+ 57 50
+ 52 3
+ 58 28
+ 61 32
x 2 60
o 16 47
x 24 41
x 38 46
+ 61 56
+ 31 46
+ 52 57
x 18 9
+ 48 1
+ 36 28
x 44 61
+ 5 18
+ 18 60
+ 44 40
+ 9 13
o 11 40
+ 26 9
o 29 17
+ 9 61
x 21 56
x 59 4
x 25 38
x 30 28
+ 48 8
+ 28 2
+ 1 27
o 14 55
o 49 26
+ 50 29
+ 20 23
+ 47 19
+ 43 5
+ 1 56
+ 59 14
+ 59 8
o 12 6
x 45 44
+ 2 45
o 9 10
+ 46 53
o 42 59
+ 36 60
+ 57 24
x 55 42
x 61 7
o 34 2
+ 24 35
+ 4 27
x 3 43
o 17 51
+ 59 41
+ 32 8
+ 11 61
x 46 31
o 1 20
100 83
x 72 56
x 39 6
x 53 100
x 90 44
x 76 82
x 84 97
x 79 68
x 62 71
x 43 61
x 31 88
x 64 25
x 91 86
x 30 23
x 58 28
x 67 29
x 94 60
x 11 47
x 93 92
x 92 57
x 12 40
x 88 98
x 24 7
x 63 72
x 73 15
x 6 76
x 13 14
x 55 51
x 44 46
x 19 19
x 57 87
x 95 24
x 69 2
x 68 83
x 2 38
x 38 16
x 78 9
x 99 1
x 65 74
x 96 62
x 26 18
x 98 39
x 16 66
x 34 30
x 52 77
x 46 81
x 70 3
x 81 69
x 18 49
x 83 67
x 77 31
x 28 21
x 37 37
x 42 59
x 45 65
x 47 90
x 32 99
x 66 32
x 71 8
x 82 70
x 7 52
x 74 35
x 9 43
x 17 54
x 75 96
x 14 50
x 80 4
x 56 42
x 29 80
x 60 5
x 41 63
x 86 58
x 89 36
x 25 48
x 35 84
x 15 53
x 100 93
x 5 73
x 10 41
x 48 27
x 87 79
x 22 22
x 27 17
x 54 94
100 100
+ 29 13
+ 1 1
+ 79 3
x 32 96
+ 33 1
+ 14 21
+ 68 1
x 93 27
x 57 58
x 84 8
x 59 49
x 10 73
+ 44 15
x 26 54
+ 15 74
+ 7 72
+ 77 20
+ 2 7
+ 19 12
+ 10 6
+ 4 34
x 45 2
+ 26 4
+ 19 75
+ 36 12
x 91 89
+ 12 3
x 14 4
+ 23 60
+ 40 32
x 9 85
+ 14 43
+ 1 75
x 47 59
+ 24 5
+ 32 59
+ 17 30
+ 2 26
+ 23 44
x 33 44
+ 75 17
+ 59 11
x 34 5
x 48 30
+ 40 20
+ 11 1
x 2 95
+ 16 2
x 55 79
x 53 80
x 81 20
x 35 69
x 90 12
+ 31 1
x 99 14
+ 61 27
x 97 68
+ 6 20
x 5 1
+ 2 17
+ 2 6
+ 15 24
+ 15 12
x 94 41
+ 12 81
+ 3 4
x 7 32
+ 20 30
x 30 40
+ 5 94
x 49 11
+ 18 34
+ 15 75
+ 5 73
+ 5 31
+ 3 2
x 79 22
+ 35 46
+ 76 25
x 67 71
x 50 35
+ 48 13
x 41 52
x 16 39
+ 65 12
+ 7 10
+ 14 9
+ 39 26
x 100 72
+ 2 22
x 64 94
x 72 33
x 6 43
+ 47 11
+ 3 11
+ 1 3
x 61 90
+ 32 1
+ 12 34
+ 6 4
23 21
+ 1 8
+ 22 23
o 7 7
o 11 6
o 20 5
+ 4 8
o 15 4
+ 16 22
o 5 16
+ 13 23
x 19 21
o 17 13
x 6 17
x 18 23
x 16 2
o 21 3
o 23 9
+ 6 23
+ 3 17
+ 13 3
x 2 12
100 100
x 83 6
x 86 93
x 46 38
x 99 72
x 65 80
x 43 95
x 22 58
x 17 50
+ 1 73
x 76 12
+ 35 28
x 79 40
x 70 31
x 31 87
x 4 32
x 77 36
x 21 41
x 93 20
x 52 29
x 66 21
x 37 77
x 74 99
x 30 61
+ 67 21
x 40 34
x 58 56
x 51 57
x 75 70
x 80 4
x 26 64
x 42 83
+ 45 22
+ 37 20
x 34 14
+ 1 1
x 96 92
x 82 98
x 35 3
+ 13 16
x 72 52
x 71 54
x 20 17
x 45 7
x 49 89
x 85 10
x 25 42
x 64 66
x 12 8
x 68 97
+ 74 22
+ 53 22
x 60 11
x 84 15
+ 37 18
x 10 51
x 16 84
x 59 78
x 13 63
x 62 28
+ 25 20
+ 20 16
x 100 96
x 9 25
+ 42 26
x 33 68
x 90 43
+ 12 3
x 53 1
x 63 23
+ 8 43
+ 11 33
x 97 79
x 39 22
x 24 5
+ 13 34
x 8 24
x 23 81
x 14 47
x 73 73
+ 16 61
x 11 35
x 87 16
x 48 13
x 28 48
x 95 67
+ 66 17
x 15 19
x 2 33
x 32 88
+ 86 3
+ 5 12
x 27 76
x 91 45
x 61 59
x 54 9
x 19 18
x 7 30
+ 4 9
x 94 94
x 50 60
39 36
+ 1 37
o 36 38
+ 14 21
+ 1 19
+ 21 38
x 31 17
+ 26 15
x 18 15
o 11 4
o 19 32
+ 20 34
o 3 30
+ 33 29
o 14 22
x 35 36
o 4 28
o 10 9
x 22 37
+ 1 16
+ 15 1
+ 11 15
+ 23 6
+ 15 27
+ 17 39
o 28 19
o 38 2
o 2 25
o 26 26
o 7 39
+ 38 17
+ 21 37
+ 38 6
+ 17 1
o 30 18
+ 15 10
+ 29 16
99 0
100 24
